rank,product_name,category,estimated_margin,trend_score,source_link
1,"Ice face roller / silicone facial ice massager","Beauty tool","76%","94/100","https://shop.tiktok.com/us/pdp/ice-face-roller-by-brand-for-facial-contour-puffiness-relief/1729405456226947794"
2,"Anti-mud microfiber mat for pets and entryways","Home / pet","52%","92/100","https://shop.tiktok.com/us/pdp/muddy-mat-anti-mud-doormat-ultra-absorbent-chenille-machine-washable/1729452943073776600"
3,"1080-degree rotatable faucet extender","Kitchen / home gadget","68%","91/100","https://shop.tiktok.com/us/pdp/citydry-rotatable-faucet-aerator-extension-all-angle-control/1732084237141447567"
4,"Portable waist fan with power bank and LED light","Outdoor / electronics","55%","89/100","https://shop.tiktok.com/us/pdp/portable-fan-panergy-usb-rechargeable-waist-fan-with-led-light-clip/1729576973624382188"
5,"Reusable pet hair remover brush / lint cleaner","Pet / cleaning","78%","88/100","https://shop.tiktok.com/us/pdp/upgraded-reusable-pet-hair-remover-brush-long-handle/1731605410454081720"
6,"Mini thermal label printer / sticker printer","Office / small business gadget","58%","86/100","https://shop.tiktok.com/us/pdp/mini-pocket-printer-inkless-sticker-maker-labeler/1731449402948882963"
7,"3-in-1 magnetic wireless charging station","Phone accessory / electronics","56%","85/100","https://shop.tiktok.com/us/k/3-in-1-wireless-charging-station"
8,"Multi-function vegetable chopper / rotary slicer","Kitchen gadget","57%","84/100","https://shop.tiktok.com/us/pdp/vegetable-chopper-susteas-18-10-stainless-steel-with-5-blades-and-suction-base/1729541293719261548"
9,"Bluetooth wallet tracker card","Travel tech / anti-loss gadget","49%","82/100","https://www.pricearchive.org/aliexpress.com/item/1005008968165614"
10,"Collapsible silicone travel water bottle","Travel / outdoor","64%","81/100","https://www.sistastore.com/products/327216"
